"year","month","day","start","end","length","city"
2016,3,"7","6:08 ↑ (97°)","17:33 ↑ (264°)","11:25:15","zaporizhia"
2016,3,"8","6:06 ↑ (96°)","17:34 ↑ (264°)","11:28:42","zaporizhia"
2016,3,"9","6:04 ↑ (96°)","17:36 ↑ (265°)","11:32:11","zaporizhia"
2016,3,"10","6:02 ↑ (95°)","17:37 ↑ (265°)","11:35:40","zaporizhia"
2016,3,"11","6:00 ↑ (94°)","17:39 ↑ (266°)","11:39:09","zaporizhia"
2016,3,"12","5:58 ↑ (94°)","17:40 ↑ (266°)","11:42:37","zaporizhia"
2016,3,"13","5:56 ↑ (93°)","17:42 ↑ (267°)","11:46:07","zaporizhia"
2016,3,"14","5:54 ↑ (93°)","17:43 ↑ (268°)","11:49:36","zaporizhia"
2016,3,"15","5:52 ↑ (92°)","17:45 ↑ (268°)","11:53:05","zaporizhia"
2016,3,"16","5:50 ↑ (91°)","17:46 ↑ (269°)","11:56:35","zaporizhia"
2016,3,"17","5:48 ↑ (91°)","17:48 ↑ (269°)","12:00:03","zaporizhia"
2016,3,"18","5:46 ↑ (90°)","17:49 ↑ (270°)","12:03:33","zaporizhia"
2016,3,"19","5:44 ↑ (90°)","17:51 ↑ (271°)","12:07:03","zaporizhia"
2016,3,"20","5:41 ↑ (89°)","17:52 ↑ (271°)","12:10:32","zaporizhia"
2016,3,"21","5:39 ↑ (89°)","17:53 ↑ (272°)","12:14:00","zaporizhia"
2016,3,"22","5:37 ↑ (88°)","17:55 ↑ (272°)","12:17:30","zaporizhia"
2016,3,"23","5:35 ↑ (87°)","17:56 ↑ (273°)","12:20:59","zaporizhia"
2016,3,"24","5:33 ↑ (87°)","17:58 ↑ (274°)","12:24:28","zaporizhia"
2016,3,"25","5:31 ↑ (86°)","17:59 ↑ (274°)","12:27:56","zaporizhia"
2016,3,"26","5:29 ↑ (86°)","18:01 ↑ (275°)","12:31:26","zaporizhia"
2016,3,"27","6:27 ↑ (85°)","19:02 ↑ (275°)","12:34:54","zaporizhia"
2016,3,"28","6:25 ↑ (84°)","19:04 ↑ (276°)","12:38:22","zaporizhia"
2016,3,"29","6:23 ↑ (84°)","19:05 ↑ (276°)","12:41:50","zaporizhia"
2016,3,"30","6:21 ↑ (83°)","19:06 ↑ (277°)","12:45:18","zaporizhia"
2016,3,"31","6:19 ↑ (83°)","19:08 ↑ (278°)","12:48:46","zaporizhia"
2016,4,"1","6:17 ↑ (82°)","19:09 ↑ (278°)","12:52:13","zaporizhia"
2016,4,"2","6:15 ↑ (82°)","19:11 ↑ (279°)","12:55:40","zaporizhia"
2016,4,"3","6:13 ↑ (81°)","19:12 ↑ (279°)","12:59:07","zaporizhia"
2016,4,"4","6:11 ↑ (80°)","19:14 ↑ (280°)","13:02:32","zaporizhia"
2016,4,"5","6:09 ↑ (80°)","19:15 ↑ (281°)","13:05:58","zaporizhia"
2016,4,"6","6:07 ↑ (79°)","19:16 ↑ (281°)","13:09:24","zaporizhia"
2016,4,"7","6:05 ↑ (79°)","19:18 ↑ (282°)","13:12:49","zaporizhia"
2016,4,"8","6:03 ↑ (78°)","19:19 ↑ (282°)","13:16:14","zaporizhia"
2016,4,"9","6:01 ↑ (78°)","19:21 ↑ (283°)","13:19:38","zaporizhia"
2016,4,"10","5:59 ↑ (77°)","19:22 ↑ (283°)","13:23:02","zaporizhia"
2016,4,"11","5:57 ↑ (76°)","19:24 ↑ (284°)","13:26:24","zaporizhia"
2016,4,"12","5:55 ↑ (76°)","19:25 ↑ (284°)","13:29:47","zaporizhia"
2016,4,"13","5:53 ↑ (75°)","19:26 ↑ (285°)","13:33:09","zaporizhia"
2016,4,"14","5:51 ↑ (75°)","19:28 ↑ (286°)","13:36:29","zaporizhia"
2016,4,"15","5:49 ↑ (74°)","19:29 ↑ (286°)","13:39:50","zaporizhia"
2016,4,"16","5:48 ↑ (74°)","19:31 ↑ (287°)","13:43:09","zaporizhia"
2016,4,"17","5:46 ↑ (73°)","19:32 ↑ (287°)","13:46:28","zaporizhia"
2016,4,"18","5:44 ↑ (73°)","19:34 ↑ (288°)","13:49:46","zaporizhia"
2016,4,"19","5:42 ↑ (72°)","19:35 ↑ (288°)","13:53:03","zaporizhia"
2016,4,"20","5:40 ↑ (72°)","19:36 ↑ (289°)","13:56:18","zaporizhia"
2016,4,"21","5:38 ↑ (71°)","19:38 ↑ (289°)","13:59:34","zaporizhia"
2016,4,"22","5:36 ↑ (71°)","19:39 ↑ (290°)","14:02:48","zaporizhia"
2016,4,"23","5:35 ↑ (70°)","19:41 ↑ (290°)","14:06:01","zaporizhia"
2016,4,"24","5:33 ↑ (69°)","19:42 ↑ (291°)","14:09:12","zaporizhia"
2016,4,"25","5:31 ↑ (69°)","19:44 ↑ (291°)","14:12:23","zaporizhia"
2016,4,"26","5:29 ↑ (68°)","19:45 ↑ (292°)","14:15:33","zaporizhia"
2016,4,"27","5:28 ↑ (68°)","19:46 ↑ (292°)","14:18:40","zaporizhia"
2016,4,"28","5:26 ↑ (67°)","19:48 ↑ (293°)","14:21:48","zaporizhia"
2016,4,"29","5:24 ↑ (67°)","19:49 ↑ (293°)","14:24:53","zaporizhia"
2016,4,"30","5:23 ↑ (67°)","19:51 ↑ (294°)","14:27:57","zaporizhia"
2016,5,"1","5:21 ↑ (66°)","19:52 ↑ (294°)","14:30:59","zaporizhia"
2016,5,"2","5:19 ↑ (66°)","19:53 ↑ (295°)","14:34:00","zaporizhia"
2016,5,"3","5:18 ↑ (65°)","19:55 ↑ (295°)","14:36:59","zaporizhia"
2016,5,"4","5:16 ↑ (65°)","19:56 ↑ (296°)","14:39:57","zaporizhia"
2016,5,"5","5:15 ↑ (64°)","19:57 ↑ (296°)","14:42:53","zaporizhia"
2016,5,"6","5:13 ↑ (64°)","19:59 ↑ (297°)","14:45:46","zaporizhia"
2016,5,"7","5:12 ↑ (63°)","20:00 ↑ (297°)","14:48:38","zaporizhia"
2016,5,"8","5:10 ↑ (63°)","20:02 ↑ (297°)","14:51:29","zaporizhia"
2016,5,"9","5:09 ↑ (62°)","20:03 ↑ (298°)","14:54:16","zaporizhia"
2016,5,"10","5:07 ↑ (62°)","20:04 ↑ (298°)","14:57:02","zaporizhia"
2016,5,"11","5:06 ↑ (62°)","20:06 ↑ (299°)","14:59:45","zaporizhia"
2016,5,"12","5:04 ↑ (61°)","20:07 ↑ (299°)","15:02:26","zaporizhia"
2016,5,"13","5:03 ↑ (61°)","20:08 ↑ (299°)","15:05:05","zaporizhia"
2016,5,"14","5:02 ↑ (60°)","20:10 ↑ (300°)","15:07:41","zaporizhia"
2016,5,"15","5:01 ↑ (60°)","20:11 ↑ (300°)","15:10:14","zaporizhia"
2016,5,"16","4:59 ↑ (60°)","20:12 ↑ (301°)","15:12:45","zaporizhia"
2016,5,"17","4:58 ↑ (59°)","20:13 ↑ (301°)","15:15:13","zaporizhia"
2016,5,"18","4:57 ↑ (59°)","20:15 ↑ (301°)","15:17:38","zaporizhia"
2016,5,"19","4:56 ↑ (59°)","20:16 ↑ (302°)","15:20:00","zaporizhia"
2016,5,"20","4:55 ↑ (58°)","20:17 ↑ (302°)","15:22:18","zaporizhia"
2016,5,"21","4:54 ↑ (58°)","20:18 ↑ (302°)","15:24:35","zaporizhia"
2016,5,"22","4:53 ↑ (58°)","20:19 ↑ (303°)","15:26:47","zaporizhia"
2016,5,"23","4:52 ↑ (57°)","20:21 ↑ (303°)","15:28:56","zaporizhia"
2016,5,"24","4:51 ↑ (57°)","20:22 ↑ (303°)","15:31:02","zaporizhia"
2016,5,"25","4:50 ↑ (57°)","20:23 ↑ (304°)","15:33:05","zaporizhia"
2016,5,"26","4:49 ↑ (56°)","20:24 ↑ (304°)","15:35:04","zaporizhia"
2016,5,"27","4:48 ↑ (56°)","20:25 ↑ (304°)","15:36:59","zaporizhia"
2016,5,"28","4:47 ↑ (56°)","20:26 ↑ (304°)","15:38:50","zaporizhia"
2016,5,"29","4:46 ↑ (56°)","20:27 ↑ (305°)","15:40:37","zaporizhia"
2016,5,"30","4:46 ↑ (55°)","20:28 ↑ (305°)","15:42:21","zaporizhia"
2016,5,"31","4:45 ↑ (55°)","20:29 ↑ (305°)","15:44:01","zaporizhia"
2016,6,"1","4:44 ↑ (55°)","20:30 ↑ (305°)","15:45:36","zaporizhia"
